Team,Conference,ConferenceAbbrev,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Southern Utah,Big Sky,Big Sky,Thunderbirds,SUU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png
UC Davis,Big Sky,Big Sky,Aggies,UCD,California-Davis,UC-Davis,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png
Weber State,Big Sky,Big Sky,Wildcats,WEB,Weber St,Weber St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png
Charleston Southern,Big South,Big South,Buccaneers,CHSO,Charleston So,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png
Campbell,Big South,Big South,Fighting Camels,CAMP,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Gardner-Webb,Big South,Big South,Bulldogs,WEBB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
Kennesaw State,Big South,Big South,Owls,KENN,Kennesaw St,Kennesaw St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Monmouth,Big South,Big South,Hawks,MONM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
Presbyterian,Big South,Big South,Blue Hose,PRE,Presbyterian College,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png
Albany,Colonial Athletic,CAA,Great Danes,ALBY,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png
Delaware,Colonial Athletic,CAA,Blue Hens,DEL,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Elon,Colonial Athletic,CAA,Phoenix,ELON,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
James Madison,Colonial Athletic,CAA,Dukes,JMU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Maine,Colonial Athletic,CAA,Black Bears,MAINE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png
New Hampshire,Colonial Athletic,CAA,Wildcats,UNH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png
Rhode Island,Colonial Athletic,CAA,Rams,URI,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png
Richmond,Colonial Athletic,CAA,Spiders,RICH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png
